Product,URL,Angle,Bundle Diameter Max.,Bundle Diameter Min.,Length,Material,Mounting Hole Diameter
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 180° Long, 0.41"" Hole Dia, PA66HIRHSUV/SS304, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01953/,180 °,19.5 mm,12.7 mm,167.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",10.29 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 180° Long, 0.51"" Hole Dia, PA66HIRHSUV/SS304, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01954/,180 °,19.5 mm,12.7 mm,167.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",12.95 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 180° Long, 0.26"" Hole Dia, PA66HIRHSUV/SS304, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01951/,180 °,19.5 mm,12.7 mm,167.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",6.5 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 180° Long, 0.26"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01647/,180 °,19.5 mm,12.7 mm,167.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",6.5 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 180° Long, 0.33"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01445/,180 °,19.5 mm,12.7 mm,167.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",8.31 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 180° Long, 0.33"" Hole Dia, PA66HIRHSUV/SS304, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01952/,180 °,19.5 mm,12.7 mm,167.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",8.31 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 180° Medium, 0.41"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01443/,180 °,19.5 mm,12.7 mm,138.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",10.29 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 180° Medium, 0.41"" Hole Dia, PA66HIRHSUV/SS304, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01949/,180 °,19.5 mm,12.7 mm,138.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",10.29 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 180° Medium, 0.51"" Hole Dia, PA66HIRHSUV/SS304, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01950/,180 °,19.5 mm,12.7 mm,138.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",12.95 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 180° Medium, 0.51"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01444/,180 °,19.5 mm,12.7 mm,138.2 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",12.95 mm
